Area Extent, Profile Curvature Mean,Profile Curvature Biased Standard Deviation,Profile Curvature Unbiased Standard Deviation,Mean TWI
Inside 0.12 PGA Contour, 202.0305943968867,130.8074232638959,130.80954550353107,-13.016356720274482
DEM Map Extent, 166.85474577120556,100.625177933398,100.62594666014381,-12.86445018227667
