,distance_stream_downstream
455,16436.48
456,16385.879
457,15841.695
458,16274.246
459,16113.031
460,15951.817
461,15790.603
462,15387.502
463,15226.281
464,15175.685
465,15226.281
466,15387.502
467,15548.723
468,14852.792
469,14691.577
470,14288.477
471,14127.256
472,13966.036
473,13804.815
474,13643.595
475,13592.998
476,13643.595
477,13592.995
478,13652.994
479,13491.774
480,13441.178
481,13491.774
482,14005.499
483,14166.713
484,14327.928
485,13592.995
486,13431.523
487,13380.931
488,12867.202
489,12705.981
490,12655.386
491,12705.981
492,12867.208
493,13028.435
494,13189.661
495,13350.888
496,13512.114
497,12957.053
498,12795.839
499,12282.114
500,12231.518
501,12282.114
502,12795.839
503,12807.543
504,12756.946
505,12807.543
506,13321.268
507,17314.184
508,16911.074
509,16749.855
510,16588.64
511,16538.047
512,16024.319
513,15973.723
514,15923.116
515,15872.52
516,15923.116
517,15761.858
518,15711.262
519,15761.858
520,15812.458
521,15761.861
522,15812.458
523,15973.679
524,16376.779
525,15973.678
526,15923.081
527,24138.898
528,23735.799
529,23574.578
530,23523.98
531,23574.578
532,23413.346
533,23040.244
534,22879.031
535,22365.307
536,22314.709
537,22365.307
538,22879.031
539,22183.482
540,22022.268
541,21508.543
542,21457.947
543,21508.543
544,21347.305
545,21508.53
546,21347.309
547,21508.53
548,21911.637
549,24088.76
550,23927.533
551,23876.938
552,23927.533
553,23554.445
554,23393.225
555,23232.004
556,23181.406
557,23232.004
558,23745.729
559,23443.86
560,23393.262
561,23443.86
562,25307.63
563,25146.416
564,24632.691
565,24582.096
566,24632.691
567,24683.291
568,24844.512
569,24885.736
570,24835.14
571,24885.736
572,26074.549
573,26023.953
574,26074.549
575,26023.95
576,27717.111
577,27314.01
578,27152.79
579,27102.19
580,27051.594
581,27102.19
582,27152.79
583,27314.016
584,27475.236
585,27878.338
586,28039.55
587,29087.855
588,28926.635
589,28876.04
590,29138.477
591,29087.88
592,29138.477
593,29189.076
594,29350.303
595,29511.523
596,29672.744
597,32384.334
598,32333.738
599,32384.334
600,32545.555
601,32948.656
602,33109.87
603,32172.479
604,32121.883
605,32172.479
606,33008.727
607,32847.504
608,32796.91
609,32847.504
610,33008.727
611,35517.57
612,35356.35
613,35305.754
614,35356.35
615,35406.95
616,35920.67
617,36505.703
618,36455.105
619,36505.703
620,36666.92
621,36828.145
622,37876.383
623,38037.598
624,37876.38
625,37825.78
626,37876.38
627,38390.1
628,38551.316
629,38712.53
630,39620.098
631,39458.875
632,39297.656
633,39247.06
634,39297.656
635,39458.875
636,39620.098
637,40023.2
638,40184.414
639,41151.965
640,41202.574
641,16900.629
642,16739.39
643,16688.791
644,16739.39
645,16688.787
646,16637.994
647,16476.768
648,16315.542
649,16154.315
650,16103.716
651,16154.315
652,16103.712
653,16154.315
654,16103.716
655,16154.315
656,15610.128
657,15660.728
658,16233.981
659,16072.767
660,15669.666
661,15508.445
662,15105.35
663,14944.117
664,14893.518
665,14944.117
666,14893.511
667,14842.91
668,14570.641
669,14409.42
670,14248.199
671,14086.9795
672,13925.759
673,13522.657
674,13361.431
675,13310.831
676,13361.431
677,13773.938
678,13260.21
679,13209.61
680,13260.21
681,13310.813
682,13361.431
683,13310.831
684,13361.431
685,12635.66
686,13149.366
687,12423.817
688,12373.218
689,12423.817
690,12585.044
691,12746.2705
692,12907.497
693,13068.724
694,13229.95
695,13391.177
696,12262.38
697,12101.153
698,12050.55
699,11999.95
700,12050.55
701,12525.379
702,12686.605
703,12525.379
704,12686.605
705,13089.707
706,17193.246
707,17032.02
708,16981.422
709,17032.02
710,16306.483
711,15903.382
712,15742.155
713,15691.552
714,15640.952
715,15691.552
716,15530.294
717,15479.694
718,15530.294
719,15479.694
720,15530.294
721,15691.5205
722,16094.622
723,15691.514
724,15640.914
725,15691.514
726,15852.74
727,23856.742
728,23453.64
729,23292.414
730,23131.182
731,22969.95
732,22919.35
733,22969.95
734,22244.375
735,22083.143
736,21921.91
737,21760.678
738,21599.445
739,21438.21
740,21276.979
741,21226.379
742,21276.979
743,21115.74
744,21065.14
745,21115.74
746,21629.473
747,21790.7
748,21951.926
749,24532.158
750,24129.049
751,23967.822
752,23806.596
753,23645.37
754,23484.137
755,23322.904
756,23161.672
757,23000.44
758,22949.84
759,23000.44
760,23161.672
761,23212.295
762,23161.695
763,23212.295
764,23262.898
765,24914.855
766,24401.127
767,24350.527
768,24401.127
769,24562.36
770,24603.572
771,24764.799
772,24603.572
773,24764.799
774,25953.611
775,25792.385
776,25741.785
777,25792.385
778,25842.992
779,27434.953
780,27031.852
781,26870.625
782,26820.025
783,26870.625
784,27031.852
785,27193.078
786,27354.389
787,27506.197
788,27455.598
789,28745.674
790,28805.697
791,28644.47
792,28906.912
793,28856.312
794,28906.912
795,29068.139
796,29229.365
797,29632.467
798,32102.17
799,32051.57
800,32102.17
801,32263.396
802,32666.498
803,32827.72
804,31890.314
805,32051.541
806,31890.314
807,31839.715
808,33129.668
809,32615.941
810,32565.34
811,32615.941
812,32777.184
813,32827.78
814,34127.242
815,34076.645
816,34127.242
817,35638.516
818,35124.785
819,35074.188
820,35124.785
821,35286.01
822,36223.54
823,36172.938
824,36223.54
825,36384.766
826,36787.867
827,37806.04
828,37644.812
829,37594.215
830,37755.44
831,37594.215
832,37755.44
833,38158.543
834,38672.266
835,38833.48
836,39741.04
837,39579.82
838,39066.094
839,39015.492
840,39066.094
841,39579.82
842,39741.04
843,39902.26
844,40869.8
845,40819.203
846,40869.8
847,40920.41
848,16779.695
849,16618.463
850,16457.223
851,16406.62
852,16457.223
853,16406.617
854,16597.709
855,16436.482
856,16033.381
857,15872.148
858,15821.545
859,15872.148
860,15821.541
861,15872.148
862,16033.381
863,15872.155
864,15821.552
865,15872.155
866,15429.163
867,15378.56
868,15429.163
869,15590.396
870,15951.833
871,15548.75
872,15387.518
873,14984.415
874,14823.183
875,14661.95
876,14611.347
877,14661.95
878,14611.343
879,14661.95
880,14530.367
881,14369.146
882,14318.547
883,14369.146
884,13643.599
885,13129.867
886,13079.264
887,13129.867
888,13542.378
889,13028.646
890,12978.043
891,13028.646
892,13189.879
893,13129.867
894,13079.264
895,13129.867
896,12514.725
897,12353.492
898,12192.254
899,12141.65
900,12192.254
901,12705.985
902,12867.212
903,13139.064
904,13189.665
905,13350.892
906,13512.118
907,11818.986
908,11768.379
909,11818.986
910,11768.383
911,11818.986
912,12293.814
913,12243.211
914,12293.814
915,12807.546
916,12395.032
917,17314.186
918,17263.586
919,17314.186
920,16346.781
921,16185.549
922,16024.322
923,15621.221
924,15459.987
925,15409.385
926,15459.987
927,15409.381
928,15248.127
929,15197.523
930,15248.127
931,15409.359
932,15812.462
933,15197.504
934,15248.107
935,15409.346
936,15570.579
937,15973.681
938,23735.814
939,23574.582
940,23171.479
941,23010.246
942,22849.014
943,22687.781
944,22637.178
945,22123.44
946,21962.207
947,21800.975
948,21639.742
949,21478.51
950,21317.277
951,21156.045
952,20994.812
953,20833.574
954,20782.97
955,20833.574
956,20994.807
957,21397.908
958,21911.639
959,20833.574
960,24411.223
961,24249.99
962,24088.764
963,23927.537
964,23524.436
965,23363.203
966,23201.97
967,23040.736
968,22879.504
969,22718.271
970,22879.504
971,22718.27
972,22980.73
973,22930.127
974,22980.73
975,22930.148
976,24683.295
977,24280.193
978,24118.96
979,24280.193
980,24330.803
981,24270.8
982,24321.404
983,24270.8
984,25560.824
985,25510.219
986,25459.615
987,25510.219
988,25560.824
989,25722.057
990,25883.361
991,27152.793
992,26639.06
993,26588.457
994,26639.06
995,27152.793
996,27173.424
997,27122.82
998,27173.424
999,27224.031
1000,27385.264
1001,28463.506
1002,28412.904
1003,28463.506
1004,28624.746
1005,28785.979
1006,29189.08
1007,29350.307
1008,31820.002
1009,31769.398
1010,31820.002
1011,31981.234
1012,32384.338
1013,31345.67
1014,31396.277
1015,31658.758
1016,31608.148
1017,31557.545
1018,31608.148
1019,31769.38
1020,32384.377
1021,32333.773
1022,32384.377
1023,32545.615
1024,32706.848
1025,33895.68
1026,33845.074
1027,33895.68
1028,34842.617
1029,34792.016
1030,34842.617
1031,35003.85
1032,35941.38
1033,35890.76
1034,35941.37
1035,36102.6
1036,35941.37
1037,36102.6
1038,37926.99
1039,37523.88
1040,37362.65
1041,37312.043
1042,37362.65
1043,37876.383
1044,38037.61
1045,38622.676
1046,38572.062
1047,38521.46
1048,38783.926
1049,38945.156
1050,38783.926
1051,38945.156
1052,38783.926
1053,39861.99
1054,40023.207
1055,40748.867
1056,40587.637
1057,40638.242
1058,40587.637
1059,40638.242
1060,40799.48
1061,40960.715
1062,16900.633
1063,16497.53
1064,16336.291
1065,16175.053
1066,16124.445
1067,16175.053
1068,16124.445
1069,16315.552
1070,16154.319
1071,15751.216
1072,15589.978
1073,15539.37
1074,15589.978
1075,15751.216
1076,16154.319
1077,15539.377
1078,15589.984
1079,15751.223
1080,15248.221
1081,15308.231
1082,15146.993
1083,15096.386
1084,15146.993
1085,15589.113
1086,15669.688
1087,15024.758
1088,15105.354
1089,14944.121
1090,14541.024
1091,14379.779
1092,14329.172
1093,14379.779
1094,14218.534
1095,14944.121
1096,14218.534
1097,14167.928
1098,14218.534
1099,13170.173
1100,13008.935
1101,12847.696
1102,12797.086
1103,12746.479
1104,12797.086
1105,12746.476
1106,12797.082
1107,12847.696
1108,12797.089
1109,12847.696
1110,13008.935
1111,11960.69
1112,11910.08
1113,12071.321
1114,11910.083
1115,12071.321
1116,12474.425
1117,12746.308
1118,12796.915
1119,12958.159
1120,13119.404
1121,13280.643
1122,11698.054
1123,11536.815
1124,11486.208
1125,11536.815
