,profile_curvature
297,-1.9143512e-05
298,-3.9870592e-05
299,-0.00015045407
300,-0.000184414
301,-0.00013955672
302,0.00022152641
303,0.01363678
304,-0.007744807
305,0.0052998713
306,0.0037417691
307,0.00028098814
308,-1.4714136e-05
309,-0.0003162898
310,-0.0008122585
311,-0.000116539326
312,-3.3589775e-05
313,1.015828e-06
314,2.942213e-05
315,4.5928347e-05
316,3.4700137e-05
317,1.1718727e-05
318,-3.0850485e-06
319,-6.219437e-06
320,-1.03357925e-05
321,-1.7396147e-05
322,-6.339722e-05
323,2.3684135e-05
324,-1.8247289e-05
325,-6.270445e-05
326,-3.135002e-05
327,-1.2900437e-05
328,-6.4048154e-06
329,-6.213195e-06
330,-9.693503e-06
331,-1.5106614e-05
332,-2.0157388e-05
333,-2.3001692e-05
334,-2.7796003e-05
335,-4.450178e-05
336,-5.8987112e-05
337,-6.260857e-05
338,-6.179966e-05
339,-6.4391614e-05
340,-7.36107e-05
341,-0.00010523334
342,-0.00015078887
343,-0.00020421676
344,-0.00032488513
345,-0.0004126695
346,-0.00036009867
347,-0.00038481894
348,-0.0003640054
349,-0.00028875368
350,-0.00021217106
351,-0.00018140377
352,-0.00019832577
353,-0.00020800829
354,-0.00023937043
355,-0.00028094827
356,-0.00027521508
357,-0.00016097134
358,0.00069586205
359,0.0004323837
360,-0.00022865155
361,1.3330154e-05
362,-3.3427554e-05
363,0.00011403189
364,0.00012621205
365,5.7885634e-05
366,-2.8027584e-05
367,-4.0151775e-05
368,-5.3662283e-05
369,-5.1520143e-05
370,-4.7447218e-05
371,-4.3304906e-05
372,-4.5641995e-05
373,-4.949856e-05
374,-5.2214473e-05
375,-5.4790882e-05
376,-5.439614e-05
377,-5.9448572e-05
378,-5.7829522e-05
379,-5.897465e-05
380,-6.62301e-05
381,-7.150526e-05
382,-7.0139264e-05
383,-6.11978e-05
384,-6.0797847e-05
385,-7.967286e-05
386,-7.872044e-05
387,-9.124532e-05
388,-8.674277e-05
389,-8.141634e-05
390,0.00012224287
391,0.00048104624
392,0.00022847226
393,2.5783349e-05
394,-0.00020687236
395,-0.00021576027
396,-0.00023578141
397,-0.001543719
398,-0.00059345993
399,-0.0011163517
400,-0.00021723895
401,7.363522e-05
402,0.00027700778
403,0.0033462793
404,0.00022734041
405,2.4372228e-05
406,6.35239e-06
407,2.2446716e-06
408,-2.6033103e-06
409,-1.6730131e-05
410,-4.939851e-05
411,-0.00021301403
412,-0.0023085685
413,-0.0039630933
414,-0.00044058808
415,-0.00013624475
416,-5.704198e-05
417,-2.616402e-05
418,-1.3499191e-05
419,-6.305683e-06
420,1.3029783e-06
421,2.1937374e-05
422,9.6405754e-05
423,0.0012335827
424,0.042607985
425,0.00026608113
426,-1.8711575e-06
427,-2.0019064e-05
428,-4.709517e-05
429,-0.00012625699
430,-0.000309111
431,-0.00024225314
432,8.39935e-05
433,0.0092655765
434,-0.0014151643
435,-0.0001800463
436,-0.045834374
437,0.003683195
438,0.0016856033
439,0.005720046
440,-0.0014374425
441,-0.00024277558
442,-5.6062057e-05
443,-1.6966966e-05
444,6.7888777e-06
445,1.9715279e-05
446,1.302777e-05
447,5.92831e-06
448,-2.8205463e-06
449,-7.0359347e-06
450,-1.2206624e-05
451,-1.8215113e-05
452,-2.153186e-05
453,1.6887127e-05
454,-2.7062188e-05
455,-6.369975e-05
456,-5.2105923e-05
457,-3.5880337e-05
458,-3.3085515e-05
459,-3.1507105e-05
460,-3.002644e-05
461,-3.604867e-05
462,-4.750725e-05
463,-5.9134483e-05
464,-7.6198274e-05
465,-0.00010862436
466,-0.00015216078
467,-0.0001702203
468,-0.00017620996
469,-0.00018159812
470,-0.00019911416
471,-0.00029094084
472,-0.00039636774
473,-0.00054208277
474,-0.00088461814
475,-0.0010374704
476,-0.0009434121
477,-0.0009269368
478,-0.0008752861
479,-0.00073267374
480,-0.0005412825
481,-0.0004842618
482,-0.0004899702
483,-0.00046771282
484,-0.00042710433
485,-0.00034863164
486,-0.0001698618
487,0.00016910191
488,0.00083475007
489,0.00032657062
490,0.000119574914
491,0.00026211992
492,0.00035170332
493,0.0003946823
494,0.0002318391
495,4.688772e-05
496,-5.463674e-05
497,-8.509373e-05
498,-0.0001556456
499,-0.00016255198
500,-0.0001630909
501,-0.00016097333
502,-0.0001716299
503,-0.00017804382
504,-0.00018383586
505,-0.00019077375
506,-0.000187298
507,-0.00015699616
508,-0.00014467075
509,-0.00014135486
510,-0.00016248199
511,-0.00018288934
512,-0.00019411567
513,-0.00018116868
514,-0.00020430211
515,-0.00023826308
516,-0.00023362173
517,-0.0002614342
518,-0.0002621206
519,-0.00023651274
520,6.600788e-05
521,2.6473868e-05
522,0.00025175678
523,-1.07055685e-05
524,-5.4981723e-05
525,-2.3972445e-05
526,-8.816162e-06
527,2.71927e-06
528,1.896151e-05
529,2.816171e-05
530,-8.134103e-06
531,-7.894732e-05
532,-0.0024477185
533,-0.019303495
534,-0.00014240894
535,-1.4450969e-05
536,1.214812e-05
537,1.3820416e-05
538,3.8916252e-05
539,0.00014912087
540,-0.00022155094
541,-2.0649448e-05
542,2.0031508e-05
543,-2.7690008e-05
544,-0.00084946293
545,-0.00027817715
546,-0.0017485074
547,-0.0072315848
548,-0.0017400647
549,-5.286751e-05
550,-1.094055e-05
551,4.0038147e-05
552,0.00014457095
553,8.4430045e-05
554,2.7420581e-05
555,8.3610175e-06
556,2.5137283e-06
557,1.2547487e-07
558,-1.2053013e-05
559,-3.456324e-05
560,-0.00011103401
561,-0.0008067742
562,-0.008520834
563,-0.0018460826
564,-0.00034774173
565,-8.477508e-05
566,-3.4459197e-05
567,-1.6956066e-05
568,-8.453213e-06
569,-1.950823e-06
570,1.1104811e-05
571,5.3754553e-05
572,0.00045554282
573,-0.00091030484
574,0.00038658356
575,4.043158e-06
576,-1.9200977e-05
577,-3.0915377e-05
578,-5.446187e-05
579,-9.765423e-05
580,-0.00024396155
581,-0.0015596194
582,-0.0075398455
583,0.04711545
584,0.00019166234
585,0.0061159185
586,0.016777314
587,0.0114603685
588,0.0033584838
589,0.00035964703
590,-0.00016043584
591,-5.8509155e-05
592,-2.4670131e-05
593,-4.9935525e-06
594,2.7962794e-06
595,2.727061e-06
596,1.7556142e-06
597,-2.2693557e-06
598,-5.829162e-06
599,-9.90291e-06
600,-1.5690015e-05
601,4.354731e-06
602,4.5630117e-05
603,9.03102e-06
604,-5.4250166e-05
605,-9.234254e-05
606,-8.139077e-05
607,-7.908609e-05
608,-7.9453224e-05
609,-7.8951234e-05
610,-9.204987e-05
611,-0.00012278734
612,-0.0001522945
613,-0.00020031181
614,-0.00030137532
615,-0.00047334688
616,-0.00058271294
617,-0.0006422212
618,-0.0006515332
619,-0.00072823116
620,-0.0010510104
621,-0.0015611657
622,-0.002131367
623,-0.0033524563
624,-0.0037484784
625,-0.0030247169
626,-0.0024364172
627,-0.0029505598
628,-0.0025764084
629,-0.0019110498
630,-0.0013939498
631,-0.0012994934
632,-0.0010980087
633,-0.00073554326
634,-0.00039721336
635,-6.860781e-05
636,0.00014264071
637,0.00025350018
638,1.48830995e-05
639,7.781453e-05
640,0.00017545983
641,0.00026810606
642,0.00020227167
643,4.985233e-05
644,-8.3129766e-05
645,-0.00017239331
646,-0.00027649535
647,-0.00058474945
648,-0.00075546344
649,-0.0010715732
650,-0.0016956837
651,-0.0032358929
652,-0.0053967154
653,-0.007909361
654,-0.007187907
655,-0.0050955606
656,-0.0025947648
657,-0.0016189797
658,-0.0011574636
659,-0.0013849296
660,-0.0017911592
661,-0.0024368772
662,-0.0034837162
663,-0.005024832
664,-0.008672412
665,-0.011800966
666,-0.019979883
667,-0.022278365
668,-0.0124569265
669,1.7262906e-06
670,-9.619366e-06
671,0.00010448924
672,0.00012952034
673,1.2136619e-05
674,-1.1472373e-05
675,1.226969e-06
676,1.2367431e-05
677,2.9087407e-05
678,1.2075898e-05
679,-3.866654e-05
680,-0.00023366816
681,0.10615368
682,-0.00084107264
683,-5.3471827e-05
684,-1.3189303e-07
685,3.0857584e-05
686,3.7833684e-05
687,2.2188724e-05
688,-0.00029612772
689,-0.0016840369
690,-4.163886e-05
691,3.880771e-05
692,0.0002757583
693,-0.0017234212
694,0.0005439436
695,0.004702593
696,0.010744357
697,4.5586014e-05
698,3.1183615e-07
699,-3.0554234e-05
700,-7.07142e-06
701,1.9845882e-05
702,1.8977533e-05
703,7.518761e-06
704,2.589811e-06
705,6.1804414e-08
706,1.9153626e-06
707,-9.847761e-06
708,-2.9043136e-05
709,-7.8718294e-05
710,-0.00036678856
711,-0.013146765
712,-0.042086057
713,-0.001605656
714,-0.00018003237
715,-5.4371903e-05
716,-2.1276317e-05
717,-9.993551e-06
718,-3.316575e-06
719,7.1163076e-06
720,3.813175e-05
721,0.0003231894
722,0.011788818
723,0.0008806161
724,5.0544193e-05
725,-9.1457946e-07
726,-7.864791e-06
727,-2.173344e-05
728,-4.425754e-05
729,-0.0001338205
730,-0.0003407184
731,-0.0009057715
732,-0.013266629
733,30.226019
734,0.034984987
735,0.014375594
736,0.00164651
737,0.0004624927
738,0.00023150157
739,4.3700442e-05
740,-1.7055081e-05
741,-1.9447785e-05
742,-1.0440088e-05
743,-5.763828e-06
744,-5.2388546e-06
745,-3.4163095e-06
746,-3.9418974e-06
747,-6.0234183e-06
748,-9.116343e-06
749,-1.5452986e-05
750,-1.7725852e-05
751,-1.4183558e-05
752,-3.208708e-05
753,-6.502467e-05
754,-0.0001823315
755,-0.0002485013
756,-0.0002616115
757,-0.00028208015
758,-0.00030339445
759,-0.0003555178
760,-0.0005034992
761,-0.0006322145
762,-0.00082706485
763,-0.0014896423
764,-0.0039465874
765,-0.006458907
766,-0.008666831
767,-0.01607338
768,-0.034247447
769,-0.091565445
770,-0.039929945
771,-0.05750983
772,-0.045304924
773,-0.05084721
774,-0.03759402
775,-0.041188207
776,-4.6422462
777,-64.20237
778,-0.6817442
779,-0.065369464
780,-0.01184136
781,-0.0045986716
782,-0.0017557259
783,-0.0008243577
784,-0.0004315065
785,-0.0002975005
786,-0.00020000247
787,-0.00020135615
788,-8.070106e-05
789,-2.9267143e-05
790,-2.4368863e-05
791,-8.6354055e-05
792,-0.00015576527
793,-0.0002714823
794,-0.0004765187
795,-0.0011549307
796,-0.0009471845
797,-0.0013535207
798,-0.0020764857
799,-0.0019497437
800,-0.00096666976
801,-0.0006645861
802,-0.00060926616
803,-0.00071983907
804,-0.0008400138
805,-0.001401456
806,-0.0028035375
807,-0.005504206
808,-0.007759231
809,-0.018338656
810,-0.0071568196
811,-0.002325127
812,-0.0018749302
813,-0.002029509
814,-0.0023806046
815,-0.0021846578
816,-0.002332422
817,-0.003050354
818,-2.141594e-05
819,-2.6018048e-05
820,1.0474863e-05
821,9.3753835e-05
822,3.7059475e-05
823,-8.879838e-06
824,1.8607443e-06
825,7.6447e-06
826,1.9416362e-05
827,-3.1019606e-06
828,-5.948887e-05
829,-0.00048815113
830,-0.002163348
831,-0.00021687367
832,-2.4897276e-05
833,1.6711765e-05
834,9.45873e-05
835,0.00022924885
836,0.0007212148
837,0.0035571996
838,-0.039094917
839,-0.00026767768
840,-4.128743e-06
841,0.00030216968
842,0.0026957567
843,0.002469892
844,0.0003095104
845,0.00060307793
846,0.00023936956
847,2.4701447e-05
848,-5.455633e-05
849,-5.832931e-05
850,-1.6892118e-05
851,-6.497088e-06
852,-1.5292597e-05
853,-6.843442e-07
854,4.7889903e-06
855,1.899126e-05
856,-5.0984277e-06
857,-2.4628984e-05
858,-5.894148e-05
859,-0.000189626
860,-0.0021198832
861,-1.0408844
862,-0.009451052
863,-0.00032856807
864,-6.765475e-05
865,-2.3324132e-05
866,-1.006788e-05
867,-3.3659944e-06
868,6.2183626e-06
869,3.2962493e-05
870,0.00024666218
871,0.010396018
872,0.0028964658
873,5.865512e-05
874,-5.075935e-06
875,3.6568508e-06
876,1.8841441e-05
877,-2.3681949e-05
878,-0.00015265578
879,-0.0003353006
880,-0.00043722044
881,0.00055748236
882,0.00087068154
883,0.0005373438
884,0.00024720567
885,0.000112772934
