,vector_ruggedness_measure
345,0.0001690574
346,0.00045345028
347,0.0004055722
348,0.00043041664
349,0.000615189
350,0.004162766
351,0.003927436
352,0.00074243743
353,0.0023205406
354,0.0031434568
355,0.0013754526
356,0.0051771915
357,0.002017434
358,0.0014614065
359,0.0023014755
360,0.0016008503
361,0.0029850644
362,0.00091922015
363,0.0007590215
364,0.00042608715
365,0.00018104803
366,0.00033641286
367,0.00020916556
368,0.00022484758
369,0.000109219465
370,3.4718998e-06
371,2.950771e-06
372,0.00014945581
373,0.000124023
374,0.00012758182
375,9.300048e-05
376,0.00016847828
377,0.0004383079
378,0.00033284727
379,0.001457269
380,0.002567821
381,0.00068909983
382,0.00086230156
383,0.00037380986
384,0.00050008873
385,0.0014171564
386,0.0022061681
387,0.00071462657
388,0.001789465
389,0.0018510364
390,0.0007879546
391,0.002212739
392,0.0023700504
393,0.0007399634
394,0.0008025435
395,0.0010290702
396,0.00077106385
397,0.0010665216
398,0.0020457152
399,0.0011236131
400,0.002293006
401,0.0011884031
402,0.002079381
403,0.0025178748
404,0.0006914395
405,0.00018908431
406,0.00066979445
407,0.00038919447
408,0.0009192225
409,0.0014234171
410,0.0018517133
411,0.0010669085
412,0.0011376889
413,0.0011806355
414,0.002201314
415,0.0007014678
416,0.00030712574
417,0.0020701264
418,0.0035703892
419,0.0006565241
420,0.0020461306
421,0.0019835122
422,0.00048265184
423,0.00019085727
424,0.00027033096
425,0.0003398501
426,5.8751313e-05
427,3.7383503e-05
428,4.5339555e-05
429,5.7068202e-05
430,0.000118694676
431,0.00015132714
432,0.000108709675
433,5.753144e-05
434,5.9473525e-05
435,9.157237e-05
436,0.0001743152
437,0.00038303004
438,0.00016997496
439,0.00046656464
440,0.0002661223
441,8.0163074e-05
442,6.6273366e-05
443,0.00023079303
444,0.0002307629
445,0.00010158179
446,0.00018010843
447,2.6864844e-05
448,6.515817e-06
449,1.5524844e-05
450,8.679949e-06
451,3.470626e-05
452,3.0844178e-05
453,1.34541315e-05
454,3.3616143e-05
455,0.00012955721
456,0.00013193434
457,0.00030260667
458,0.00041531253
459,0.00023958697
460,0.00038910893
461,0.0002946967
462,3.1038697e-05
463,6.353197e-05
464,7.380052e-05
465,6.966368e-05
466,0.0003211783
467,0.0005225121
468,0.00021042112
469,0.00021096309
470,0.00047283026
471,0.00020727533
472,0.00012039321
473,4.7188285e-05
474,2.747493e-05
475,6.703005e-05
476,8.9240486e-05
477,4.8187703e-05
478,6.541011e-05
479,6.972609e-05
480,4.343125e-05
481,9.5950345e-05
482,8.499743e-05
483,0.00018835839
484,3.5428002e-05
485,5.9868726e-05
486,1.9409612e-05
487,3.7357015e-05
488,0.00018893437
489,0.0001083428
490,0.00020933516
491,0.00012050434
492,5.0960898e-05
493,5.8840895e-05
494,2.0868552e-05
495,4.1669973e-05
496,4.8254573e-05
497,4.175478e-05
498,5.106342e-05
499,5.5704266e-05
500,0.00021624152
501,0.00030398832
502,5.553518e-05
503,4.4229804e-05
504,7.3194715e-05
505,0.00022380105
506,0.00034621547
507,0.0003376897
508,0.00048198548
509,0.0007611371
510,0.0008267898
511,0.000897221
512,0.0013588781
513,0.001170111
514,0.0006736774
515,0.00017015553
516,0.0002126842
517,0.0012133379
518,0.0017036516
519,0.0020670567
520,0.0029565948
521,0.00079799956
522,0.00079923565
523,0.0004935836
524,0.0007851366
525,0.0010054577
526,0.0010674094
527,0.00071518973
528,0.00026568962
529,0.0005348578
530,0.0013100463
531,0.002372251
532,0.0013870184
533,0.0024649578
534,0.00044019063
535,0.0021397811
536,0.0015653432
537,0.0005114485
538,0.0014835498
539,0.0012545775
540,0.0007501004
541,0.0019856298
542,0.0008090099
543,0.0007997618
544,0.00040152305
545,0.0007795067
546,0.00097179104
547,0.001196216
548,0.0006839938
549,0.00044305946
550,0.00041993434
551,0.00010388184
552,2.8885073e-05
553,6.2229046e-06
554,0.038944706
555,0.043544136
556,0.043594167
557,0.043507088
558,0.03547202
559,0.027826032
560,0.032823715
561,0.037890874
562,0.03689092
563,0.025960717
564,0.015150536
565,0.012037535
566,0.010886058
567,0.012387328
568,0.01051891
569,0.0055361874
570,0.001914836
571,0.00096503977
572,0.0016534431
573,0.002442763
574,0.0041274703
575,0.0027956737
576,0.005217243
577,0.0042661824
578,0.0014692622
579,0.0015543477
580,0.0020344718
581,0.001958735
582,0.0016030457
583,0.0015446056
584,0.0017832586
585,0.00183276
586,0.0028039743
587,0.0022179594
588,0.00419822
589,0.0028974176
590,0.0019661742
591,0.002450748
592,0.001728739
593,0.000490545
594,0.00070100464
595,0.0012797224
596,0.0013322595
597,0.003980999
598,0.004809955
599,0.00106375
600,0.0005220678
601,0.00030397627
602,0.00025924752
603,0.00013732862
604,0.00032111158
605,0.00089663506
606,0.0013145834
607,0.0015507239
608,0.0046856515
609,0.0022517005
610,0.0021818676
611,0.0023017325
612,0.00067175075
613,0.0010892239
614,0.0013270327
615,0.0029083297
616,0.0044277366
617,0.0012039698
618,0.00043012603
619,0.0005333777
620,0.00035823678
621,0.00014452757
622,0.0001590767
623,0.00041696936
624,0.00033697393
625,0.00043459612
626,0.0007057108
627,0.0038815055
628,0.004731864
629,0.00081929605
630,0.0021566069
631,0.003095535
632,0.0016543417
633,0.0051173503
634,0.0022269494
635,0.0024995953
636,0.0023953966
637,0.002328916
638,0.003152617
639,0.0010748324
640,0.0012742175
641,0.00082690635
642,0.00051740353
643,0.00037091147
644,0.00016442731
645,0.0001957347
646,9.981448e-05
647,4.30683e-06
648,8.355896e-06
649,0.00015868532
650,0.00012323698
651,0.00016004416
652,0.00010200415
653,0.0002407585
654,0.0003552855
655,0.0002844738
656,0.0011666855
657,0.0019380237
658,0.00066306756
659,0.0008460171
660,0.00074932235
661,0.000732264
662,0.0011891508
663,0.002344359
664,0.0013108994
665,0.0014145802
666,0.0023027968
667,0.0016028055
668,0.0017746587
669,0.0025740452
670,0.0011340753
671,0.0006388888
672,0.0009133712
673,0.0013708428
674,0.0012481596
675,0.002651122
676,0.0012597291
677,0.0025284716
678,0.0016742861
679,0.0020064102
680,0.0030855606
681,0.00083214213
682,0.00030307553
683,0.0011864363
684,0.0015247089
685,0.0015582021
686,0.0014906231
687,0.0015055831
688,0.001055016
689,0.00085824355
690,0.00138534
691,0.0023542515
692,0.0007346454
693,0.0008949354
694,0.0018683182
695,0.0028718677
696,0.00073751947
697,0.0015738988
698,0.001995119
699,0.0007850873
700,0.00031660593
701,0.00029795407
702,0.00051218783
703,0.0001257188
704,5.6526045e-05
705,7.375671e-05
706,0.000111653535
707,0.00016225241
708,0.00017509381
709,0.00012456714
710,7.571477e-05
711,7.858257e-05
712,9.3004164e-05
713,0.00014876938
714,0.00031754962
715,0.00022464887
716,0.00045510574
717,0.00021304369
718,0.00010995067
719,8.811344e-05
720,0.00023592079
721,0.00018456622
722,0.00011176507
723,0.00016040541
724,2.396397e-05
725,6.002792e-06
726,1.1594897e-05
727,8.62966e-06
728,5.5847453e-05
729,4.09755e-05
730,5.661149e-05
731,8.771978e-05
732,0.00011139556
733,0.00020464085
734,0.00035368424
735,0.00032624128
736,0.00031720116
737,0.00035269262
738,0.00021698866
739,4.5492186e-05
740,6.2423984e-05
741,0.00011204291
742,8.7817054e-05
743,0.0002717889
744,0.00055081025
745,0.00036914274
746,0.00028061523
747,0.00038978693
748,0.00019538823
749,0.00019366766
750,0.00011200289
751,3.3855173e-05
752,5.2612202e-05
753,7.948971e-05
754,6.940113e-05
755,6.7587505e-05
756,5.65355e-05
757,5.6079796e-05
758,8.16705e-05
759,8.2046674e-05
760,0.00015529667
761,3.125933e-05
762,6.727866e-05
763,4.5625016e-05
764,7.831765e-05
765,0.0001841777
766,0.00011865552
767,0.0002904166
768,0.00013812812
769,6.391794e-05
770,4.4034947e-05
771,2.1973132e-05
772,5.3738408e-05
773,6.8338275e-05
774,6.35292e-05
775,4.5589055e-05
776,0.00013246264
777,0.0002913042
778,0.0002451817
779,5.59021e-05
780,5.186716e-05
781,0.0001077963
782,0.00020138711
783,0.00031689773
784,0.0005503443
785,0.0008565581
786,0.001098246
787,0.00096553005
788,0.00082117744
789,0.0012038844
790,0.0015197978
791,0.001605865
792,0.0011956093
793,0.0007522453
794,0.0011368161
795,0.0012691522
796,0.001745561
797,0.0024677382
798,0.0009673654
799,0.0013198493
800,0.0010603513
801,0.0014650617
802,0.0013327415
803,0.0013684328
804,0.001102619
805,0.00040619136
806,0.0005337315
807,0.0009990518
808,0.0016738434
809,0.001179539
810,0.0018250315
811,0.00040792229
812,0.0017463942
813,0.0018841617
814,0.00058277155
815,0.0013070888
816,0.0012582676
817,0.00067758304
818,0.0014296032
819,0.00085118064
820,0.000659155
821,0.0005233829
822,0.0010754843
823,0.0015125341
824,0.002337322
825,0.0013687598
826,0.0005833472
827,0.00049596
828,0.0001061904
829,3.1265703e-05
830,6.3362468e-06
831,0.011361491
832,0.011594843
833,0.014569701
834,0.025280066
835,0.034562275
836,0.02363656
837,0.025384692
838,0.02823093
839,0.03640381
840,0.036820855
841,0.026679907
842,0.019877052
843,0.015914308
844,0.01368416
845,0.012437195
846,0.011220526
847,0.008247752
848,0.0044511273
849,0.002255409
850,0.0031514664
851,0.0060281246
852,0.0024421667
853,0.0040779016
854,0.0035902914
855,0.0012368188
856,0.002495413
857,0.0028678009
858,0.0025674195
859,0.0015587191
860,0.0023069994
861,0.0028481553
862,0.0035190664
863,0.0046975324
864,0.0034630678
865,0.005536865
866,0.0053552464
867,0.0041069305
868,0.0021722845
869,0.0025822916
870,0.00083917874
871,0.00046088017
872,0.001262483
873,0.0018370714
874,0.0023532338
875,0.0047743274
876,0.0017035272
877,0.000980831
878,0.0007001687
879,0.0006204544
880,0.0006582297
881,0.0006734682
882,0.0013193418
883,0.0016041129
884,0.0010683964
885,0.003665212
886,0.002944054
887,0.0021804448
888,0.0027195914
889,0.000511481
890,0.00084955466
891,0.0010955707
892,0.0019329535
893,0.003405356
894,0.0017019914
895,0.00044196643
896,0.00071496103
897,0.00042934105
898,0.00015326838
899,0.00017077966
900,0.0003936691
901,0.00030570096
902,0.000572844
903,0.0009663059
904,0.0036986405
905,0.0060179974
906,0.0011237288
907,0.0018013017
908,0.0027692395
909,0.0016198204
910,0.0045157634
911,0.0019048215
912,0.0031662777
913,0.0016577548
914,0.0028225852
915,0.003390804
916,0.0022310824
917,0.002307575
918,0.00163766
919,0.0010415134
920,0.0006767684
921,0.00013366017
922,0.00010742138
923,8.6499866e-05
924,6.7144497e-06
925,1.3323845e-05
926,0.00014757708
927,0.0001044021
928,0.00014277005
929,0.000105263905
930,0.00027099793
931,0.00024876712
932,0.0002358626
933,0.0006603298
934,0.001084021
935,0.0007139776
936,0.0005508173
937,0.0007445666
938,0.0011520608
939,0.0006006467
940,0.0017954767
941,0.0019319577
942,0.0011123294
943,0.0013782136
944,0.0018539925
945,0.0010091013
946,0.0022804304
947,0.0015176986
948,0.00084237976
949,0.0005176449
950,0.0014576558
951,0.0010639803
952,0.00283375
953,0.001485211
954,0.0028887845
955,0.001761509
956,0.0012063022
957,0.0031007833
958,0.001379218
959,0.00043109115
960,0.0011329514
961,0.001531492
962,0.001441742
963,0.0011427186
964,0.0009799519
965,0.0005868602
966,0.00039540217
967,0.0012222572
968,0.0018841177
969,0.0010689404
970,0.001914056
971,0.001479298
972,0.0018304626
973,0.0012134705
974,0.0007675305
975,0.0012769655
976,0.0007665847
977,0.00034889928
978,0.00021436522
979,0.0005756566
980,0.00018064867
981,5.405943e-05
982,6.077057e-05
983,7.133307e-05
984,7.364579e-05
985,6.479114e-05
986,5.4745426e-05
987,4.4481058e-05
988,4.061494e-05
989,4.4442157e-05
990,8.0753736e-05
991,0.00021145791
992,0.00019047277
993,0.0003239718
994,9.81501e-05
995,8.09239e-05
996,6.459936e-05
997,0.0001984493
998,0.000121467296
999,0.00011125159
1000,9.8210316e-05
1001,1.1383706e-05
1002,6.1757746e-06
1003,1.2644969e-05
