,TWI_raster
0,-14.502442
1,-15.176027
2,-15.9939575
3,-15.409034
4,-15.871476
5,-15.754315
6,-15.0960655
7,-16.242794
8,-17.10681
9,-16.660236
10,-14.334189
11,-15.195298
12,-15.707029
13,-16.219965
14,-15.754694
15,-15.91934
16,-15.213944
17,-16.49454
