,TWI_raster
395,-15.94897
396,-11.784341
397,-13.186153
398,-14.799259
399,-16.063772
400,-13.594926
401,-16.084703
402,-13.458928
403,-11.923147
404,-14.709297
405,-16.66004
406,-15.911183
407,-11.105582
408,-12.007497
409,-11.610961
410,-10.5535965
411,-15.422071
412,-16.355442
413,-15.22534
414,-15.452262
415,-15.363161
416,-14.42482
417,-9.886202
418,-9.150753
419,-12.230803
420,-13.711815
421,-15.56936
422,-13.087403
423,-12.730726
424,-13.836055
425,-12.9473505
426,-12.2524185
427,-13.300413
428,-12.722284
429,-13.478612
430,-10.913621
431,-9.053531
432,-11.153595
433,-12.986834
434,-14.990575
435,-15.035889
436,-10.785856
437,-13.314099
438,-14.269376
439,-14.972168
440,-13.505824
441,-12.812319
442,-11.461813
443,-12.318524
444,-11.065913
445,-12.637218
446,-10.874669
447,-11.892146
448,-12.167069
449,-14.969173
450,-11.74731
451,-14.6638775
452,-8.682323
453,-12.62285
454,-14.024922
455,-15.009236
456,-13.631204
457,-13.131107
458,-14.98155
459,-11.643374
460,-11.516526
461,-12.802713
462,-13.015025
463,-14.86542
464,-14.793638
465,-14.482376
466,-13.702116
467,-14.701448
468,-13.765751
469,-9.6931715
470,-10.446371
471,-11.484885
472,-10.693168
473,-14.08147
474,-13.459554
475,-12.539259
476,-13.936943
477,-16.448807
478,-13.630696
479,-13.722202
480,-9.838267
481,-12.870986
482,-16.819748
483,-13.827042
484,-10.6500025
485,-13.487719
486,-16.60007
487,-14.326497
488,-11.71963
489,-14.397375
490,-16.426361
491,-14.507641
492,-12.646767
493,-10.043243
494,-11.8266115
495,-10.153443
496,-11.158808
497,-12.184713
498,-12.188274
499,-12.914712
500,-12.882068
501,-9.746897
502,-12.011636
503,-14.594833
504,-13.858082
505,-13.986124
506,-13.095251
507,-13.367076
508,-15.675306
509,-14.018507
510,-8.561896
511,-11.704765
512,-15.372433
513,-15.289173
514,-16.20021
515,-16.222597
516,-11.687834
517,-13.752507
518,-14.741465
519,-14.096539
520,-13.5158615
521,-15.512239
522,-12.6080265
523,-13.666628
524,-16.14799
525,-11.6700325
526,-11.080708
527,-12.602612
528,-14.461974
529,-16.308989
530,-15.7871475
531,-15.423485
532,-14.637302
533,-12.405835
534,-11.145885
535,-12.075476
536,-13.254993
537,-13.817155
538,-11.7465925
539,-12.818239
540,-14.635389
541,-15.993535
542,-15.106268
543,-13.70177
544,-14.931177
545,-15.817522
546,-14.592862
547,-12.731441
548,-9.687927
549,-10.646498
550,-13.800596
551,-15.186074
552,-14.296276
553,-11.706094
554,-12.808791
555,-13.256244
556,-11.377594
557,-11.349506
558,-12.7640295
559,-13.936165
560,-12.520713
561,-11.848953
562,-10.347427
563,-11.767915
564,-11.498786
565,-10.785509
566,-11.6550045
567,-13.234553
568,-13.822885
569,-14.087517
570,-13.511426
571,-12.627483
572,-11.860136
573,-13.159259
574,-10.848055
575,-9.231107
576,-10.973677
577,-12.720163
578,-13.42249
579,-14.698246
580,-13.097807
581,-11.394321
582,-11.763231
583,-15.411669
584,-15.491819
585,-14.59475
586,-14.851166
587,-14.64269
588,-15.030921
589,-15.091762
590,-12.033419
591,-11.831385
592,-14.1322365
593,-13.31282
594,-13.505058
595,-13.53827
596,-12.819835
597,-15.265964
598,-15.139902
599,-13.634549
600,-9.540184
601,-11.239944
602,-14.325276
603,-13.842707
604,-11.182016
605,-16.530558
606,-16.205425
607,-16.614595
608,-16.217173
609,-13.540767
610,-8.967109
611,-14.905494
612,-15.546317
613,-8.988208
614,-10.082019
615,-15.4784975
616,-13.391903
617,-15.264849
618,-15.267519
619,-16.539885
620,-16.23641
621,-12.812677
622,-15.359798
623,-12.065242
624,-11.047642
625,-9.685319
626,-11.685059
627,-13.526959
628,-10.897877
629,-12.586231
630,-10.813982
631,-11.32381
632,-14.067947
633,-13.167315
634,-13.358957
635,-12.152539
636,-13.630109
637,-16.01504
638,-14.946622
639,-13.140988
640,-10.828201
641,-8.201468
642,-8.988215
643,-8.152652
644,-12.660864
645,-8.06526
646,-10.50824
647,-10.285091
648,-9.587061
649,-9.1464205
650,-8.879924
651,-8.663502
652,-11.336041
653,-13.757049
654,-13.824762
655,-9.398411
656,-12.592813
657,-16.805216
658,-14.875281
659,-14.967072
660,-15.600404
661,-13.848295
662,-14.774668
663,-15.223629
664,-12.087704
665,-9.050969
666,-10.175052
667,-8.61932
668,-8.881197
669,-10.630009
670,-11.520933
671,-14.611981
672,-15.915448
673,-13.564685
674,-13.761827
675,-15.354833
676,-15.608899
677,-14.346131
678,-9.08811
679,-9.701824
680,-10.870618
681,-12.998561
682,-12.036622
683,-12.350952
684,-13.362125
685,-11.685563
686,-13.385162
687,-11.078044
688,-8.86108
689,-12.040095
690,-10.8189535
691,-13.409841
692,-12.580806
693,-11.743445
694,-12.852318
695,-14.193623
696,-11.965646
697,-12.537133
698,-12.887687
699,-11.526896
700,-10.042111
701,-10.198721
702,-11.149859
703,-13.446627
704,-10.924959
705,-11.677805
706,-14.219587
707,-13.098418
708,-15.392605
709,-11.679892
710,-11.16042
711,-12.351533
712,-15.083671
713,-14.672185
714,-13.796952
715,-13.312673
716,-13.558952
717,-13.28235
718,-11.229416
719,-12.134535
720,-11.097549
721,-10.545613
722,-12.210789
723,-11.942847
724,-12.4955
725,-12.937624
726,-12.883521
727,-14.531657
728,-14.419813
729,-11.622334
730,-8.5468235
731,-14.090218
732,-12.11628
733,-11.841581
734,-11.5546665
735,-12.603589
736,-14.032523
737,-16.129148
738,-14.856964
739,-12.761056
740,-9.266379
741,-16.066677
742,-15.979213
743,-10.262548
744,-11.47478
