,pga_contour_raster_cropped
0,0.28
1,0.29956156
2,0.2973552
3,0.27130628
4,0.27130628
5,0.27130628
6,0.27130628
7,0.27130628
8,0.26
9,0.27130628
10,0.26739153
11,0.26739153
12,0.26739153
13,0.26739153
14,0.26739153
15,0.26739153
16,0.26739153
17,0.26739153
