,distance_stream_downstream
455,21951.926
456,24532.158
457,24129.049
458,23967.822
459,23806.596
460,23645.37
461,23484.137
462,23322.904
463,23161.672
464,23000.44
465,22949.84
466,23000.44
467,23161.672
468,23212.295
469,23161.695
470,23212.295
471,23262.898
472,24914.855
473,24401.127
474,24350.527
475,24401.127
476,24562.36
477,24603.572
478,24764.799
479,24603.572
480,24764.799
481,25953.611
482,25792.385
483,25741.785
484,25792.385
485,25842.992
486,27434.953
487,27031.852
488,26870.625
489,26820.025
490,26870.625
491,27031.852
492,27193.078
493,27354.389
494,27506.197
495,27455.598
496,28745.674
497,28805.697
498,28644.47
499,28906.912
500,28856.312
501,28906.912
502,29068.139
503,29229.365
504,29632.467
505,32102.17
506,32051.57
507,32102.17
508,32263.396
509,32666.498
510,32827.72
511,31890.314
512,32051.541
513,31890.314
514,31839.715
515,33129.668
516,32615.941
517,32565.34
518,32615.941
519,32777.184
520,32827.78
521,34127.242
522,34076.645
523,34127.242
524,35638.516
525,35124.785
526,35074.188
527,35124.785
528,35286.01
529,36223.54
530,36172.938
531,13350.892
532,13512.118
533,11818.986
534,11768.379
535,11818.986
536,11768.383
537,11818.986
538,12293.814
539,12243.211
540,12293.814
541,12807.546
542,12395.032
543,17314.186
544,17263.586
545,17314.186
546,16346.781
547,16185.549
548,16024.322
549,15621.221
550,15459.987
551,15409.385
552,15459.987
553,15409.381
554,15248.127
555,15197.523
556,15248.127
557,15409.359
558,15812.462
559,15197.504
560,15248.107
561,15409.346
562,15570.579
563,15973.681
564,23735.814
565,23574.582
566,23171.479
567,23010.246
568,22849.014
569,22687.781
570,22637.178
571,22123.44
572,21962.207
573,21800.975
574,21639.742
575,21478.51
576,21317.277
577,21156.045
578,20994.812
579,20833.574
580,20782.97
581,20833.574
582,20994.807
583,21397.908
584,21911.639
585,20833.574
586,24411.223
587,24249.99
588,24088.764
589,23927.537
590,23524.436
591,23363.203
592,23201.97
593,23040.736
594,22879.504
595,22718.271
596,22879.504
597,22718.27
598,22980.73
599,22930.127
600,22980.73
601,22930.148
602,24683.295
603,24280.193
604,24118.96
605,24280.193
606,24330.803
607,24270.8
608,24321.404
609,24270.8
610,25560.824
611,25510.219
612,25459.615
613,25510.219
614,25560.824
615,25722.057
616,25883.361
617,27152.793
618,26639.06
619,26588.457
620,26639.06
621,27152.793
622,27173.424
623,27122.82
624,27173.424
625,27224.031
626,27385.264
627,28463.506
628,28412.904
629,28463.506
630,28624.746
631,28785.979
632,29189.08
633,29350.307
634,31820.002
635,31769.398
636,31820.002
637,31981.234
638,32384.338
639,31345.67
640,31396.277
641,31658.758
642,31608.148
643,31557.545
644,31608.148
645,31769.38
646,32384.377
647,32333.773
648,32384.377
649,32545.615
650,32706.848
651,33895.68
652,33845.074
653,33895.68
654,34842.617
655,34792.016
656,34842.617
657,35003.85
658,35941.38
659,35890.76
660,35941.37
661,13119.404
662,13280.643
663,11698.054
664,11536.815
665,11486.208
666,11536.815
667,11698.054
668,12062.251
669,12011.644
670,12062.251
671,12112.861
672,12274.1
673,12435.339
674,12071.665
675,12021.059
676,12071.665
677,16417.117
678,15903.397
679,15742.158
680,15339.056
681,15177.817
682,15127.21
683,14965.956
684,14915.349
685,14965.956
686,15016.566
687,14754.085
688,14915.33
689,14965.937
690,15127.176
691,15288.414
692,15691.523
693,15852.769
694,23856.752
695,23453.65
696,23292.418
697,23131.186
698,22969.951
699,22566.85
700,22405.611
701,22244.377
702,22083.145
703,21921.912
704,21760.68
705,21599.447
706,21438.215
707,21276.982
708,20873.879
709,20712.64
710,20551.402
711,20500.795
712,20551.402
713,20500.795
714,20551.402
715,20712.64
716,24532.16
717,21710.316
718,21549.072
719,21498.465
720,23645.373
721,23484.14
722,23322.908
723,23161.676
724,23000.443
725,22486.705
726,22436.098
727,22486.705
728,22537.314
729,22698.56
730,22647.977
731,22698.584
732,22859.848
733,24401.13
734,23887.393
735,24048.63
736,23887.393
737,24039.234
738,23988.627
739,24039.234
740,25439.893
741,25278.654
742,25228.047
743,25278.654
744,25651.793
745,25601.188
746,25651.793
747,25813.04
748,26407.498
749,26356.89
750,26407.498
751,26458.107
752,26941.86
753,26891.254
754,26941.86
755,27103.098
756,28181.336
757,28130.729
758,28181.336
759,28342.574
760,28503.812
761,28906.916
762,29068.148
763,29229.387
764,31699.07
765,31537.832
766,31487.225
767,31537.832
768,31376.582
769,31114.105
770,31063.5
771,31114.105
772,31376.588
773,31325.977
774,31487.215
775,32102.205
776,32051.6
777,32102.205
778,32263.445
779,32424.684
780,32827.785
781,33664.117
782,33613.508
783,33664.117
784,34611.055
785,34560.45
786,34611.055
787,35124.79
788,35709.81
789,35659.2
790,35608.594
791,12998.475
792,13401.578
793,11254.638
794,11305.251
795,11254.641
796,11305.251
797,11818.989
798,11830.6875
799,11780.077
800,11830.6875
801,11991.932
802,12395.035
803,12556.274
804,11840.102
805,11789.491
806,11840.102
807,16185.571
808,16024.333
809,15621.2295
810,15459.991
811,15056.888
812,14895.643
813,14734.392
814,14683.781
815,14734.392
816,14895.637
817,14522.518
818,14683.763
819,14845.007
820,15248.111
821,15409.35
822,15570.595
823,15731.839
824,15893.084
825,20421.041
826,20259.791
827,20098.541
828,20047.93
829,22687.785
830,22637.178
831,22687.785
832,22526.553
833,19453.514
834,21881.621
835,21831.016
836,21881.621
837,21156.055
838,20994.814
839,20833.576
840,20430.473
841,20269.229
842,20218.617
843,20269.229
844,20218.611
845,20168.0
846,20218.611
847,21589.387
848,21428.143
849,21266.898
850,21216.287
851,21266.898
852,21216.285
853,22930.123
854,22768.879
855,22255.14
856,22204.531
857,22255.14
858,22416.385
859,22577.63
860,22416.41
861,22365.799
862,22628.283
863,22577.674
864,23655.828
865,23605.219
866,23655.828
867,23706.45
868,23757.06
869,23918.31
870,24996.48
871,24945.87
872,24996.48
873,25157.725
874,25319.01
875,25369.62
876,25530.863
877,25692.11
878,26175.934
879,26125.322
880,26175.934
881,26447.824
882,26609.076
883,26659.686
884,27737.91
885,27687.3
886,27737.91
887,27899.162
888,28060.406
889,28463.51
890,28624.748
891,28785.988
892,29622.455
893,29350.322
894,31820.006
895,31416.902
896,31255.658
897,31094.406
898,30933.156
899,30882.543
900,30831.932
901,31094.412
902,31043.803
903,31094.412
904,31820.031
905,31769.422
906,31820.031
907,31981.277
908,32384.38
909,32545.62
910,33381.938
911,33543.188
912,33381.94
913,33543.188
914,34379.492
915,34328.88
916,34379.492
917,34540.75
918,35588.88
919,35427.637
920,35377.027
921,12847.699
922,12444.595
923,12283.345
924,12232.73
925,12283.345
926,12797.086
927,12283.345
928,12444.595
929,12847.699
930,11446.956
931,11396.338
932,11345.725
933,11396.338
934,11557.589
935,11960.693
936,12585.063
937,12746.308
938,12796.918
939,12958.163
940,13119.407
941,10972.456
942,11023.073
943,10972.46
944,11023.073
945,11184.324
946,12112.871
947,11709.76
948,11548.51
949,11709.76
950,11548.506
951,11599.123
952,11760.38
953,11608.537
954,11557.924
955,11608.537
956,11557.92
957,15903.407
958,15742.169
959,15339.084
960,15177.82
961,14774.716
962,14613.465
963,14452.215
964,14290.958
965,14240.341
966,14189.727
967,14240.341
968,14965.94
969,14452.215
970,15530.288
971,15691.527
972,15852.771
973,15339.141
974,20300.115
975,20138.865
976,19977.613
977,19816.363
978,19655.105
979,19493.85
980,19332.592
981,19171.336
982,19120.723
983,19171.336
984,19010.078
985,18959.46
986,21276.992
987,21226.383
988,20712.65
989,20551.406
990,20148.3
991,19987.05
992,20148.3
993,19987.05
994,19936.434
995,20097.684
996,21710.32
997,21549.076
998,21145.97
999,20984.72
1000,20934.107
1001,20984.72
1002,22023.58
1003,22537.318
1004,22134.215
1005,21972.963
1006,21922.35
1007,21972.963
1008,22134.232
1009,22083.62
1010,22134.232
1011,22184.85
1012,22346.107
1013,23424.266
1014,23373.65
1015,23424.266
1016,23474.883
1017,23636.133
1018,23797.385
1019,24764.916
1020,24714.303
1021,24764.916
1022,25036.828
1023,25087.441
1024,25248.693
1025,25651.797
1026,25893.756
1027,25843.143
1028,25893.756
1029,26055.006
1030,26216.258
1031,26377.508
1032,26538.76
1033,27405.12
1034,27455.734
1035,27616.984
1036,27778.234
1037,28181.34
1038,28695.15
1039,29390.89
1040,29340.277
1041,29390.89
1042,29340.273
1043,29925.34
1044,31537.836
1045,31487.225
1046,30973.48
1047,30812.229
1048,30650.979
1049,30600.365
1050,30650.979
1051,30812.236
1052,31325.984
1053,31376.598
1054,31537.854
1055,31699.105
1056,32424.748
1057,32374.135
1058,32424.748
1059,32586.006
1060,33099.76
1061,33150.375
1062,33311.625
1063,34147.926
1064,34097.312
1065,34258.57
1066,34309.184
1067,34470.44
1068,35196.07
1069,35145.457
1070,12726.776
1071,12565.525
1072,12162.42
1073,12001.163
1074,11950.546
1075,12001.163
1076,12162.42
1077,12565.525
1078,12726.776
1079,11326.031
1080,11164.774
1081,11114.157
1082,11164.774
1083,11678.52
1084,11839.77
1085,12242.874
1086,12867.244
1087,13028.501
1088,13079.099
1089,10690.271
1090,10740.893
1091,10690.275
1092,10740.893
1093,10902.149
1094,11305.255
1095,11991.947
1096,11830.69
1097,11316.942
1098,11266.325
1099,11316.942
1100,11478.199
1101,11639.456
1102,11487.613
1103,11326.356
1104,11275.739
1105,11326.356
1106,15540.674
1107,15379.417
1108,15218.16
1109,15056.903
1110,14895.646
1111,14734.3955
1112,14331.29
1113,14170.033
1114,14008.776
1115,13958.159
1116,14008.776
1117,14170.033
1118,14331.29
1119,14845.086
1120,14895.703
1121,15056.96
1122,15218.217
1123,20421.045
1124,20259.795
1125,20098.543
1126,19695.44
1127,19534.182
1128,19372.926
1129,19211.668
1130,19050.412
1131,18889.154
1132,18727.898
1133,18677.281
1134,18727.898
1135,18677.277
1136,18727.898
1137,20833.586
1138,20782.973
1139,20269.232
1140,19866.127
1141,19704.87
1142,19654.252
1143,19704.87
1144,19654.248
1145,19704.87
1146,19866.127
1147,21266.902
1148,20863.797
1149,20702.54
1150,20863.797
1151,20702.54
1152,21741.4
1153,22255.145
1154,21741.4
1155,21690.783
1156,21741.4
1157,21902.668
1158,21852.05
1159,21902.668
1160,22063.926
1161,22225.182
1162,23192.701
1163,23142.084
1164,23192.701
1165,23353.965
1166,23757.062
1167,24482.734
1168,24432.117
1169,24482.734
1170,24754.643
1171,24805.262
1172,24966.523
1173,25127.787
1174,25289.049
1175,25450.312
1176,25611.574
1177,25772.838
1178,26175.938
1179,26447.824
1180,26609.076
1181,27224.17
1182,27173.553
1183,27334.809
1184,27737.914
1185,27899.166
1186,28412.969
1187,29108.71
1188,29058.092
1189,29108.71
1190,29058.092
1191,29108.71
1192,29592.541
1193,29643.16
1194,29592.541
1195,29643.16
1196,29804.422
1197,30318.18
1198,30368.797
1199,30530.055
1200,31255.674
1201,31094.416
1202,31255.674
1203,31416.93
1204,31820.041
1205,31981.305
1206,32142.568
1207,32303.824
1208,32465.082
1209,32868.19
1210,33029.457
1211,33190.72
1212,34027.004
1213,33865.746
1214,34027.004
1215,34188.258
1216,34349.516
1217,34752.63
1218,34913.89
1219,12465.385
1220,12414.764
1221,12283.348
1222,11769.6
1223,11718.9795
1224,11769.6
1225,12283.348
1226,12444.6045
1227,10721.299
1228,10670.678
1229,10933.211
1230,10882.59
1231,10933.211
1232,10983.835
1233,11145.099
1234,11306.361
1235,13098.812
1236,13149.429
1237,10509.333
1238,10458.708
1239,10408.088
1240,10458.708
1241,10619.972
1242,11023.077
1243,11184.334
1244,12112.875
