,TWI_raster
395,-12.342075
396,-14.213969
397,-15.885947
398,-15.980431
399,-12.407795
400,-11.626168
401,-15.330854
402,-16.163532
403,-15.974097
404,-16.5102
405,-12.20763
406,-13.116509
407,-9.989663
408,-11.832808
409,-10.586165
410,-13.633753
411,-15.112688
412,-16.79071
413,-13.887427
414,-12.11259
415,-13.66167
416,-13.950421
417,-16.023487
418,-14.940225
419,-14.13285
420,-11.907762
421,-10.348094
422,-15.343219
423,-14.530137
424,-14.118091
425,-14.779656
426,-13.4903345
427,-14.800806
428,-13.9696245
429,-14.9204035
430,-14.664815
431,-13.145909
432,-12.589107
433,-12.002688
434,-14.239127
435,-13.556707
436,-11.823979
437,-11.911612
438,-12.6365385
439,-13.792451
440,-14.922596
441,-14.795685
442,-13.92679
443,-12.923351
444,-14.675802
445,-13.403467
446,-12.332588
447,-11.751268
448,-13.118461
449,-10.942382
450,-10.773364
451,-11.357752
452,-10.776457
453,-11.899961
454,-12.088579
455,-11.678071
456,-14.043421
457,-11.400856
458,-12.343094
459,-11.197467
460,-15.144197
461,-15.056253
462,-12.20494
463,-12.614162
464,-12.594325
465,-14.026557
466,-15.2245865
467,-15.276514
468,-14.375981
469,-14.151238
470,-11.531603
471,-10.297035
472,-14.52184
473,-13.488903
474,-11.380503
475,-13.861795
476,-13.340144
477,-14.985026
478,-13.944275
479,-14.55104
480,-14.339961
481,-11.539057
482,-13.975357
483,-14.092871
484,-13.271662
485,-12.1418
486,-10.625204
487,-13.764275
488,-10.653019
489,-9.280059
490,-13.431171
491,-13.307915
492,-13.972686
493,-14.363192
494,-12.588021
495,-11.51881
496,-11.635895
497,-11.543333
498,-12.515357
499,-11.493962
500,-13.508233
501,-15.368485
502,-12.765364
503,-12.716146
504,-12.03465
505,-11.033048
506,-11.791157
507,-13.500554
508,-15.118189
509,-15.898969
510,-14.621532
511,-15.893527
512,-16.350935
513,-15.74739
514,-12.614085
515,-13.150292
516,-13.080201
517,-13.500019
518,-16.229933
519,-13.527185
520,-10.915629
521,-9.468617
522,-10.01548
523,-12.406151
524,-12.355783
525,-11.734882
526,-10.757781
527,-9.149048
528,-11.993592
529,-15.219351
530,-16.31597
531,-16.193048
532,-12.007284
533,-11.211577
534,-14.072019
535,-16.37705
536,-15.890102
537,-12.786957
538,-10.4855175
539,-13.25189
540,-14.481247
541,-16.281252
542,-13.062434
543,-12.924695
544,-15.03565
545,-14.319582
546,-13.082587
547,-15.250896
548,-14.871053
549,-12.122723
550,-11.066381
551,-9.314706
552,-14.066627
553,-11.67574
554,-16.404081
555,-17.486984
556,-17.508564
557,-17.346352
558,-16.927177
559,-16.296219
560,-16.181177
561,-17.051632
562,-17.299929
563,-16.634342
564,-16.259138
565,-15.142204
566,-14.834897
567,-16.821909
568,-16.857065
569,-15.96506
570,-14.968072
571,-14.087592
572,-12.68255
573,-11.7828665
574,-12.250914
575,-15.152099
576,-16.901926
577,-15.008011
578,-14.389647
579,-15.364023
580,-13.19867
581,-12.882778
582,-12.812668
583,-13.4588
584,-14.583917
585,-13.385344
586,-12.707497
587,-16.08255
588,-16.332851
589,-16.143932
590,-14.351109
591,-10.432116
592,-11.59168
593,-11.686122
594,-12.4967575
595,-12.722919
596,-14.947557
597,-16.51412
598,-16.378122
599,-15.317722
600,-11.46229
601,-10.854618
602,-14.24515
603,-15.844701
604,-12.925862
605,-11.217516
606,-14.869607
607,-16.674088
608,-16.514866
609,-14.500592
610,-12.991668
611,-9.019889
612,-10.9806795
613,-11.191015
614,-14.401343
615,-16.716333
616,-16.624828
617,-15.03769
618,-13.527997
619,-13.967418
620,-12.856377
621,-11.634381
622,-10.167242
623,-9.905133
624,-13.311482
625,-13.034957
626,-14.79492
627,-16.819618
628,-15.782115
629,-12.854791
630,-10.408729
631,-9.954032
632,-13.586201
633,-15.572583
634,-15.353734
635,-11.054992
636,-10.394839
637,-14.443174
638,-16.717493
639,-14.493305
640,-10.416607
641,-10.202282
642,-10.406982
643,-10.878544
644,-15.936749
645,-8.862737
646,-11.3966055
647,-12.57097
648,-12.348957
649,-11.700152
650,-12.7276125
651,-15.1515465
652,-11.8798685
653,-11.48538
654,-12.29689
655,-13.844635
656,-15.207743
657,-16.079826
658,-12.116749
659,-11.102719
660,-11.429907
661,-13.15338
662,-15.238274
663,-16.399784
664,-14.17019
665,-11.646217
666,-9.020418
667,-12.5941925
668,-13.837363
669,-16.42081
670,-15.045841
671,-11.254122
672,-10.417087
673,-12.57925
674,-12.310116
675,-14.668492
676,-13.730054
677,-12.537525
678,-12.61814
679,-15.259888
680,-15.926596
681,-12.857516
682,-15.081272
683,-14.878666
684,-16.333054
685,-17.034782
686,-13.797818
687,-9.54295
688,-12.779079
689,-15.249784
690,-12.387805
691,-9.392225
692,-14.508675
693,-14.867909
694,-14.725689
695,-16.165768
696,-14.727759
697,-11.8892565
698,-9.720569
699,-12.491673
700,-13.952498
701,-13.826229
702,-14.428906
703,-13.001832
704,-14.143294
705,-13.562403
706,-12.993749
707,-13.065906
708,-13.706593
709,-12.969794
710,-13.067149
711,-8.935683
712,-11.201945
713,-10.939852
714,-12.58157
715,-13.393662
716,-15.880174
717,-13.478165
718,-10.7923355
719,-11.324852
720,-13.975292
721,-14.153631
722,-12.405703
723,-11.569826
724,-10.568448
725,-12.362904
726,-11.057301
727,-12.133356
728,-12.633029
729,-12.833117
730,-14.950861
731,-11.831154
732,-15.889015
733,-13.305251
734,-11.188197
735,-13.156033
736,-15.529101
737,-14.894575
738,-14.146764
739,-12.569258
740,-10.553642
741,-12.706066
742,-13.851674
743,-14.692705
744,-14.342415
745,-15.191898
746,-13.243006
747,-10.14477
748,-11.705141
749,-13.023054
750,-11.232001
751,-15.343699
752,-13.452116
753,-11.224754
754,-12.174783
755,-12.944151
756,-13.733717
757,-13.956893
758,-11.571119
759,-10.758973
760,-14.443813
761,-13.215717
762,-12.443586
763,-13.161681
764,-9.55397
765,-11.19393
766,-13.12009
767,-15.050007
768,-11.691761
769,-11.843443
770,-14.326939
771,-13.3629875
772,-13.125798
773,-10.721801
774,-11.796965
775,-12.427418
776,-12.878441
777,-15.076753
778,-14.5489435
779,-12.379613
780,-9.384616
781,-10.864487
782,-9.755753
783,-13.081159
784,-15.3024
785,-15.868965
786,-14.311457
787,-15.862456
788,-14.680323
789,-14.388965
790,-15.540948
791,-15.691525
792,-16.214123
793,-15.0663185
794,-13.676118
795,-15.292684
796,-11.707695
797,-11.539424
798,-16.436266
799,-16.155014
800,-15.061751
801,-14.931412
802,-15.836797
803,-13.371204
804,-11.206636
805,-13.296613
806,-12.679222
807,-12.092739
808,-16.317703
809,-10.795846
810,-12.28935
811,-15.902818
812,-14.42595
813,-14.286303
814,-15.738755
815,-9.182562
816,-11.762208
817,-14.286861
818,-16.208778
819,-15.484242
820,-11.938164
821,-13.165027
822,-15.657698
823,-16.24866
824,-16.323238
825,-15.620219
826,-15.092913
827,-13.181121
828,-12.265854
829,-11.092972
830,-12.004467
831,-14.650712
832,-16.5889
833,-16.628473
834,-16.640087
835,-17.497095
836,-16.601103
837,-16.82018
838,-17.051956
839,-17.301483
840,-17.65893
841,-17.133213
842,-17.135561
843,-17.07394
844,-16.748384
845,-16.830517
846,-16.010612
847,-15.50574
848,-15.782757
849,-16.043217
850,-15.594634
851,-11.8533125
852,-13.293494
853,-16.345284
854,-15.256713
855,-12.438569
856,-12.562375
857,-16.152256
858,-14.30379
859,-16.425114
860,-15.142555
861,-17.1211
862,-15.773739
863,-12.519094
864,-16.573633
865,-16.491364
866,-16.252367
867,-16.307598
868,-14.09181
869,-12.72588
870,-12.379879
871,-11.746068
872,-12.625419
873,-12.400203
874,-14.627519
875,-16.474735
876,-14.252083
877,-16.628073
878,-11.451611
879,-11.998855
880,-13.133804
881,-12.201795
882,-12.124615
883,-13.535532
884,-14.196762
885,-15.300657
886,-16.18842
887,-11.61764
888,-9.655348
889,-16.293726
890,-16.058641
891,-15.2474
892,-15.116265
893,-15.405324
894,-16.074821
895,-14.983548
896,-13.541571
897,-9.349863
898,-11.2526655
899,-12.09971
900,-11.115497
901,-13.090587
902,-15.647158
903,-13.620607
904,-14.0890875
905,-16.60012
906,-14.213235
907,-14.447508
908,-9.77406
909,-12.859906
910,-16.163513
911,-14.617518
912,-9.698467
913,-13.138116
914,-16.093727
915,-15.415995
916,-13.257118
917,-10.869558
918,-14.193217
919,-12.843535
920,-9.896704
921,-11.841745
922,-10.498949
923,-10.447215
924,-12.34825
925,-13.158945
926,-12.034058
927,-13.832931
928,-15.222475
929,-10.640744
930,-11.157546
931,-13.156263
932,-15.046131
933,-14.907346
934,-14.976177
935,-15.044164
936,-14.379265
937,-10.314797
938,-10.973839
939,-12.85641
940,-14.889182
941,-16.543982
942,-14.854935
943,-11.2209215
944,-11.876732
945,-15.181546
946,-16.142956
947,-16.105803
948,-15.81776
949,-13.291592
950,-11.597397
951,-12.584931
952,-17.018612
953,-15.94897
954,-11.784341
955,-13.186153
956,-14.799259
957,-16.063772
958,-13.594926
959,-16.084703
960,-13.458928
961,-11.923147
962,-14.709297
963,-16.66004
964,-15.911183
965,-11.105582
966,-12.007497
967,-11.610961
968,-10.5535965
969,-15.422071
970,-16.355442
971,-15.22534
972,-15.452262
973,-15.363161
974,-14.42482
975,-9.886202
976,-9.150753
977,-12.230803
978,-13.711815
979,-15.56936
980,-13.087403
981,-12.730726
982,-13.836055
983,-12.9473505
984,-12.2524185
985,-13.300413
986,-12.722284
987,-13.478612
988,-10.913621
989,-9.053531
990,-11.153595
991,-12.986834
992,-14.990575
993,-15.035889
994,-10.785856
995,-13.314099
996,-14.269376
997,-14.972168
998,-13.505824
999,-12.812319
1000,-11.461813
1001,-12.318524
1002,-11.065913
1003,-12.637218
1004,-10.874669
1005,-11.892146
1006,-12.167069
1007,-14.969173
1008,-11.74731
1009,-14.6638775
1010,-8.682323
1011,-12.62285
1012,-14.024922
1013,-15.009236
1014,-13.631204
1015,-13.131107
1016,-14.98155
1017,-11.643374
1018,-11.516526
1019,-12.802713
1020,-13.015025
1021,-14.86542
1022,-14.793638
1023,-14.482376
1024,-13.702116
1025,-14.701448
1026,-13.765751
1027,-9.6931715
1028,-10.446371
1029,-11.484885
1030,-10.693168
1031,-14.08147
1032,-13.459554
1033,-13.181337
1034,-9.248549
1035,-9.891975
1036,-13.8692465
1037,-14.642696
1038,-13.268662
1039,-10.904602
1040,-10.741256
1041,-11.414041
1042,-12.42243
1043,-13.417392
1044,-15.671302
1045,-13.430259
1046,-10.821681
1047,-10.618444
1048,-9.538583
1049,-10.699439
1050,-11.569842
1051,-13.139259
1052,-13.373253
1053,-15.056112
1054,-15.056207
1055,-12.194434
1056,-13.728977
1057,-10.705231
1058,-10.410619
1059,-10.539097
1060,-15.317032
