,dem
0,752.0
1,766.0
2,817.0
3,760.0
4,827.0
5,869.0
6,778.0
7,876.0
8,805.0
9,837.0
10,656.0
11,730.0
12,806.0
13,695.0
14,731.0
15,787.0
16,677.0
17,771.0
