,profile_curvature
287,-2.5215607e-07
288,-3.2973094e-07
289,-3.4358615e-07
290,-3.413239e-07
291,-3.476498e-07
292,-3.5064005e-07
293,-2.7353195e-07
294,-3.7688494e-07
295,-3.7571084e-07
296,-2.3272932e-07
297,-9.2122995e-08
298,-1.2635736e-08
299,4.3621323e-08
300,2.2706812e-08
301,-1.7273136e-07
302,-3.4102325e-07
303,-3.8336955e-07
304,-3.9720788e-07
305,-4.345583e-07
306,-6.1952974e-08
307,2.1085148e-07
308,3.710583e-07
309,4.1876888e-07
310,3.33371e-07
311,2.1793599e-07
312,-2.1635542e-09
313,-2.5201334e-07
314,-3.6830195e-07
315,3.538262e-07
