,distance_stream_downstream
0,26026.023
1,26095.941
2,26276.666
3,13352.75
4,13514.412
5,13676.074
6,13232.016
7,13393.69
8,13352.76
9,13301.902
10,12696.249
11,12857.936
12,13019.622
13,12655.301
14,12816.987
15,12978.674
16,12725.179
17,12886.877
